Name,Date,Site,Direction of transect,Type of transect,Location,Aux5,Height (cm),Latitude,Longitude,Depth,Camera,Photographer,Water quality,Strobes,Framing gear used,White balance card,Comments
PA250025.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250026.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250027.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250028.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250029.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250030.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250031.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250032.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250033.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250034.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250035.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250036.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250037.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250038.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250039.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250040.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250041.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250042.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250043.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250044.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250045.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250046.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250047.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250048.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250049.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250050.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250051.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250052.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250053.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250054.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250055.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250056.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250057.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250058.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250059.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250060.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250061.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250062.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250063.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250064.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250065.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250066.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250067.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250068.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250069.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250070.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250071.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250072.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250073.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
PA250074.JPG,2021-08-24,Nanikai outer reef,East,Restoration,Kiribati,,,1.3623,173.0167,10m,,,,,,,
